step,reward_1,reward_2,reward_3
137,-1.0,-1.0,-1.0
138,-1.0,-1.0,-1.0
139,-1.0,-1.0,-1.0
140,-1.0,-1.0,-1.0
141,0.05000000074505806,-1.0,-1.0
142,-1.0,-1.0,-1.0
143,-1.0,0.07500000298023224,-1.0
144,-1.0,-1.0,-1.0
145,-1.0,-1.0,-1.0
146,-1.0,-1.0,-1.0
147,-1.0,-1.0,-1.0
148,-1.0,0.10000000149011612,-1.0
149,-1.0,-1.0,-1.0
150,-1.0,-1.0,-1.0
151,-1.0,-1.0,-1.0
152,-1.0,-1.0,-1.0
153,-1.0,-1.0,-1.0
154,-1.0,-1.0,-1.0
155,-1.0,-1.0,-1.0
156,-1.0,-1.0,-1.0
157,-1.0,-1.0,-1.0
158,-1.0,-1.0,-1.0
159,-1.0,0.03333333507180214,-1.0
160,0.02500000037252903,-1.0,0.008333333767950535
161,0.07500000298023224,0.05000000074505806,-1.0
162,-1.0,-1.0,-1.0
163,-1.0,-1.0,-1.0
164,-1.0,-1.0,-1.0
165,-1.0,-1.0,-1.0
166,-1.0,-1.0,0.05000000074505806
167,-1.0,-1.0,-1.0
168,-1.0,-1.0,-1.0
169,-1.0,-1.0,-1.0
170,-1.0,-1.0,0.5
171,-1.0,-1.0,0.25
172,-1.0,-1.0,-1.0
173,0.05000000074505806,-1.0,-1.0
174,-1.0,-1.0,-1.0
175,-1.0,-1.0,-1.0
176,-1.0,-1.0,-1.0
177,-1.0,-1.0,-1.0
178,-1.0,-1.0,-1.0
179,-1.0,-1.0,-1.0
180,0.02500000037252903,-1.0,-1.0
181,-1.0,-1.0,-1.0
182,-1.0,-1.0,-1.0
183,-1.0,-1.0,-1.0
184,-1.0,-1.0,0.10000000149011612
185,-1.0,-1.0,-1.0
186,-1.0,0.05000000074505806,-1.0
187,-1.0,-1.0,-1.0
188,-1.0,-1.0,-1.0
189,-1.0,0.05000000074505806,-1.0
190,0.13333334028720856,-1.0,-1.0
191,-1.0,-1.0,-1.0
192,-1.0,-1.0,-1.0
193,-1.0,-1.0,-1.0
194,-1.0,0.07500000298023224,0.13333334028720856
195,0.25,-1.0,-1.0
196,-1.0,-1.0,-1.0
197,-1.0,-1.0,-1.0
198,-1.0,-1.0,-1.0
199,-1.0,-1.0,0.05000000074505806
200,-1.0,-1.0,-1.0
201,-1.0,-1.0,-1.0
202,-1.0,-1.0,-1.0
203,-1.0,-1.0,-1.0
204,-1.0,-1.0,-1.0
205,-1.0,-1.0,-1.0
206,0.5,-1.0,0.20000000298023224
207,-1.0,-1.0,-1.0
208,-1.0,-1.0,0.25
209,-1.0,-1.0,-1.0
210,-1.0,-1.0,0.05000000074505806
211,-1.0,-1.0,-1.0
212,-1.0,-1.0,-1.0
213,-1.0,-1.0,-1.0
214,-1.0,-1.0,0.02500000037252903
215,-1.0,-1.0,-1.0
216,0.07500000298023224,-1.0,-1.0
217,0.07500000298023224,-1.0,0.10000000149011612
218,-1.0,-1.0,-1.0
219,-1.0,-1.0,-1.0
220,-1.0,-1.0,0.25
221,-1.0,-1.0,-1.0
222,-1.0,-1.0,-1.0
223,-1.0,-1.0,-1.0
224,-1.0,-1.0,-1.0
225,-1.0,0.20000000298023224,-1.0
226,-1.0,-1.0,-1.0
227,-1.0,-1.0,-1.0
228,-1.0,-1.0,-1.0
229,-1.0,0.5,-1.0
230,-1.0,-1.0,-1.0
231,-1.0,0.05000000074505806,-1.0
232,-1.0,-1.0,-1.0
233,0.02500000037252903,-1.0,-1.0
234,-1.0,0.5,-1.0
235,-1.0,-1.0,-1.0
236,-1.0,-1.0,-1.0
237,-1.0,-1.0,-1.0
238,-1.0,-1.0,-1.0
239,-1.0,-1.0,-1.0
240,-1.0,-1.0,-1.0
241,-1.0,-1.0,-1.0
242,-1.0,-1.0,-1.0
243,-1.0,-1.0,0.03333333507180214
244,-1.0,0.20000000298023224,-1.0
245,-1.0,-1.0,-1.0
246,-1.0,0.10000000149011612,-1.0
247,-1.0,-1.0,-1.0
248,-1.0,-1.0,-1.0
249,0.10000000149011612,-1.0,-1.0
250,-1.0,-1.0,-1.0
251,-1.0,-1.0,-1.0
252,-1.0,-1.0,-1.0
253,-1.0,-1.0,-1.0
254,-1.0,-1.0,0.07500000298023224
255,-1.0,-1.0,-1.0
256,-1.0,-1.0,-1.0
257,-1.0,-1.0,-1.0
258,-1.0,-1.0,0.05000000074505806
259,-1.0,-1.0,-1.0
260,-1.0,-1.0,-1.0
261,-1.0,-1.0,-1.0
262,-1.0,-1.0,-1.0
263,-1.0,-1.0,-1.0
264,-1.0,-1.0,-1.0
265,-1.0,-1.0,-1.0
266,-1.0,-1.0,-1.0
267,-1.0,0.05000000074505806,0.125
268,-1.0,-1.0,-1.0
269,0.05000000074505806,-1.0,-1.0
270,-1.0,0.02500000037252903,-1.0
271,-1.0,-1.0,-1.0
272,-1.0,0.03333333507180214,0.05000000074505806
273,-1.0,-1.0,-1.0
274,-1.0,-1.0,-1.0
275,-1.0,-1.0,-1.0
276,-1.0,-1.0,-1.0
277,-1.0,-1.0,-1.0
278,-1.0,0.05000000074505806,-1.0
279,-1.0,-1.0,-1.0
280,-1.0,-1.0,-1.0
281,0.03333333507180214,-1.0,-1.0
282,-1.0,-1.0,-1.0
283,-1.0,0.05000000074505806,-1.0
284,-1.0,-1.0,0.1666666716337204
285,-1.0,-1.0,-1.0
286,-1.0,-1.0,-1.0
287,-1.0,-1.0,-1.0
288,-1.0,-1.0,-1.0
289,-1.0,-1.0,-1.0
290,-1.0,-1.0,-1.0
291,-1.0,-1.0,-1.0
292,-1.0,-1.0,-1.0
293,0.05000000074505806,-1.0,-1.0
294,-1.0,-1.0,-1.0
295,-1.0,-1.0,-1.0
296,-1.0,-1.0,-1.0
297,-1.0,-1.0,-1.0
298,-1.0,-1.0,-1.0
299,-1.0,-1.0,-1.0
300,-1.0,-1.0,-1.0
301,-1.0,-1.0,-1.0
302,-1.0,-1.0,-1.0
303,-1.0,-1.0,-1.0
304,-1.0,-1.0,-1.0
305,-1.0,-1.0,-1.0
306,-1.0,-1.0,-1.0
307,-1.0,-1.0,-1.0
308,0.10000000149011612,-1.0,-1.0
309,-1.0,-1.0,0.03333333507180214
310,0.01666666753590107,-1.0,-1.0
311,-1.0,-1.0,-1.0
312,-1.0,-1.0,-1.0
313,-1.0,-1.0,-1.0
314,-1.0,-1.0,-1.0
315,-1.0,-1.0,-1.0
316,-1.0,-1.0,-1.0
317,-1.0,-1.0,-1.0
318,-1.0,-1.0,-1.0
319,-1.0,-1.0,0.05000000074505806
320,-1.0,0.5,-1.0
321,-1.0,-1.0,0.05000000074505806
322,-1.0,-1.0,0.03333333507180214
323,-1.0,-1.0,-1.0
324,-1.0,-1.0,-1.0
325,-1.0,0.02500000037252903,-1.0
326,0.008333333767950535,-1.0,-1.0
327,-1.0,-1.0,-1.0
328,-1.0,0.02500000037252903,-1.0
329,-1.0,0.25,-1.0
330,-1.0,-1.0,-1.0
331,-1.0,-1.0,-1.0
332,-1.0,-1.0,-1.0
333,0.5,-1.0,-1.0
334,-1.0,-1.0,-1.0
335,-1.0,-1.0,-1.0
336,-1.0,-1.0,-1.0
337,-1.0,0.05000000074505806,-1.0
338,-1.0,-1.0,-1.0
339,-1.0,-1.0,-1.0
340,0.02500000037252903,-1.0,0.02500000037252903
341,-1.0,-1.0,-1.0
342,-1.0,0.07500000298023224,-1.0
343,-1.0,-1.0,0.25
344,-1.0,-1.0,-1.0
345,-1.0,-1.0,-1.0
346,-1.0,-1.0,-1.0
347,-1.0,-1.0,-1.0
348,-1.0,-1.0,-1.0
349,-1.0,-1.0,-1.0
350,-1.0,-1.0,-1.0
351,-1.0,-1.0,-1.0
352,-1.0,-1.0,0.5
353,-1.0,-1.0,-1.0
354,-1.0,0.05000000074505806,-1.0
355,-1.0,-1.0,-1.0
356,-1.0,0.13333334028720856,-1.0
357,-1.0,-1.0,-1.0
358,-1.0,-1.0,-1.0
359,-1.0,-1.0,-1.0
360,-1.0,-1.0,-1.0
361,-1.0,-1.0,-1.0
362,-1.0,-1.0,-1.0
363,0.03333333507180214,-1.0,-1.0
364,-1.0,-1.0,-1.0
365,-1.0,0.05000000074505806,-1.0
366,-1.0,-1.0,-1.0
367,-1.0,-1.0,-1.0
368,-1.0,-1.0,-1.0
369,0.03750000149011612,-1.0,0.03750000149011612
370,-1.0,-1.0,-1.0
371,-1.0,-1.0,-1.0
372,-1.0,-1.0,-1.0
373,-1.0,-1.0,0.07500000298023224
374,-1.0,-1.0,-1.0
375,-1.0,-1.0,-1.0
376,-1.0,0.008333333767950535,-1.0
377,-1.0,-1.0,-1.0
378,-1.0,-1.0,-1.0
379,-1.0,-1.0,-1.0
380,-1.0,-1.0,-1.0
381,-1.0,0.05000000074505806,-1.0
382,-1.0,-1.0,-1.0
383,-1.0,-1.0,-1.0
384,-1.0,-1.0,-1.0
385,-1.0,-1.0,-1.0
386,-1.0,-1.0,-1.0
387,-1.0,-1.0,-1.0
388,-1.0,-1.0,-1.0
389,-1.0,-1.0,-1.0
390,-1.0,-1.0,-1.0
391,-1.0,-1.0,-1.0
392,-1.0,-1.0,-1.0
393,-1.0,-1.0,-1.0
394,-1.0,-1.0,-1.0
395,-1.0,-1.0,-1.0
396,-1.0,-1.0,0.05000000074505806
397,-1.0,0.03333333507180214,-1.0
398,-1.0,-1.0,-1.0
399,0.10000000149011612,-1.0,-1.0
400,-1.0,-1.0,-1.0
401,-1.0,-1.0,-1.0
402,-1.0,-1.0,-1.0
403,-1.0,-1.0,-1.0
404,-1.0,-1.0,-1.0
405,-1.0,-1.0,-1.0
406,0.02500000037252903,-1.0,0.125
407,-1.0,-1.0,-1.0
408,-1.0,-1.0,-1.0
409,-1.0,-1.0,-1.0
410,-1.0,-1.0,-1.0
411,-1.0,-1.0,-1.0
412,-1.0,-1.0,-1.0
413,-1.0,-1.0,-1.0
414,-1.0,0.10000000149011612,-1.0
415,-1.0,-1.0,-1.0
416,-1.0,-1.0,-1.0
417,-1.0,-1.0,-1.0
418,-1.0,0.05000000074505806,-1.0
419,-1.0,-1.0,-1.0
420,-1.0,-1.0,-1.0
421,-1.0,-1.0,-1.0
422,-1.0,0.03333333507180214,-1.0
423,-1.0,-1.0,-1.0
424,-1.0,-1.0,-1.0
425,-1.0,-1.0,-1.0
426,-1.0,-1.0,-1.0
427,-1.0,-1.0,-1.0
428,-1.0,-1.0,-1.0
429,-1.0,-1.0,0.07500000298023224
430,-1.0,-1.0,-1.0
431,0.008333333767950535,-1.0,-1.0
432,-1.0,-1.0,-1.0
433,-1.0,0.05000000074505806,0.10000000149011612
434,-1.0,-1.0,-1.0
435,0.07500000298023224,-1.0,-1.0
436,-1.0,-1.0,-1.0
437,-1.0,-1.0,0.25
438,0.05000000074505806,-1.0,-1.0
439,-1.0,-1.0,-1.0
440,-1.0,-1.0,-1.0
441,-1.0,-1.0,-1.0
442,-1.0,-1.0,-1.0
443,-1.0,-1.0,-1.0
444,-1.0,-1.0,-1.0
445,-1.0,-1.0,-1.0
446,-1.0,-1.0,-1.0
447,-1.0,-1.0,-1.0
448,-1.0,0.5,-1.0
449,0.02500000037252903,-1.0,-1.0
450,-1.0,-1.0,-1.0
451,-1.0,-1.0,-1.0
452,-1.0,-1.0,-1.0
453,-1.0,-1.0,-1.0
454,-1.0,-1.0,-1.0
455,-1.0,-1.0,-1.0
456,-1.0,-1.0,-1.0
457,-1.0,-1.0,-1.0
458,-1.0,-1.0,-1.0
459,-1.0,-1.0,0.05000000074505806
460,-1.0,-1.0,-1.0
461,0.07500000298023224,-1.0,-1.0
462,-1.0,-1.0,-1.0
463,-1.0,-1.0,-1.0
464,-1.0,-1.0,-1.0
465,-1.0,0.07500000298023224,-1.0
466,-1.0,-1.0,0.5
467,-1.0,-1.0,-1.0
468,-1.0,-1.0,-1.0
469,-1.0,-1.0,-1.0
470,-1.0,-1.0,0.05000000074505806
471,-1.0,-1.0,-1.0
472,-1.0,-1.0,-1.0
473,-1.0,-1.0,-1.0
474,-1.0,-1.0,-1.0
475,-1.0,-1.0,-1.0
476,-1.0,-1.0,-1.0
477,-1.0,-1.0,-1.0
478,-1.0,-1.0,-1.0
479,0.02500000037252903,-1.0,-1.0
480,-1.0,-1.0,-1.0
481,-1.0,-1.0,-1.0
482,-1.0,-1.0,-1.0
483,-1.0,-1.0,-1.0
484,-1.0,-1.0,-1.0
485,-1.0,-1.0,-1.0
486,-1.0,-1.0,0.25
487,-1.0,-1.0,-1.0
488,-1.0,-1.0,-1.0
489,-1.0,-1.0,-1.0
490,-1.0,-1.0,-1.0
491,-1.0,-1.0,-1.0
492,-1.0,0.125,-1.0
493,-1.0,-1.0,-1.0
494,-1.0,-1.0,0.4000000059604645
495,-1.0,0.1666666716337204,-1.0
496,-1.0,0.02500000037252903,-1.0
497,-1.0,-1.0,-1.0
498,-1.0,-1.0,-1.0
499,-1.0,-1.0,-1.0
500,-1.0,-1.0,-1.0
501,-1.0,-1.0,-1.0
502,0.004166666883975267,-1.0,0.03750000149011612
503,-1.0,-1.0,-1.0
504,-1.0,-1.0,-1.0
505,-1.0,-1.0,-1.0
506,-1.0,-1.0,-1.0
507,-1.0,-1.0,-1.0
508,0.05000000074505806,-1.0,0.05000000074505806
509,-1.0,-1.0,0.05000000074505806
510,-1.0,0.5,-1.0
511,-1.0,-1.0,-1.0
512,-1.0,-1.0,-1.0
513,-1.0,-1.0,-1.0
514,-1.0,-1.0,-1.0
515,-1.0,-1.0,-1.0
516,-1.0,0.05000000074505806,-1.0
517,-1.0,-1.0,-1.0
518,-1.0,-1.0,-1.0
519,-1.0,0.008333333767950535,-1.0
520,-1.0,-1.0,-1.0
521,0.5,-1.0,-1.0
522,-1.0,-1.0,-1.0
523,-1.0,-1.0,-1.0
524,-1.0,-1.0,-1.0
525,-1.0,-1.0,-1.0
526,-1.0,-1.0,-1.0
527,-1.0,-1.0,-1.0
528,-1.0,-1.0,-1.0
529,-1.0,-1.0,-1.0
530,-1.0,-1.0,-1.0
531,-1.0,-1.0,-1.0
532,-1.0,-1.0,-1.0
533,-1.0,-1.0,0.5
534,-1.0,-1.0,-1.0
535,-1.0,-1.0,-1.0
536,-1.0,-1.0,-1.0
537,-1.0,-1.0,-1.0
538,-1.0,-1.0,-1.0
539,-1.0,-1.0,0.07500000298023224
540,-1.0,-1.0,-1.0
541,-1.0,-1.0,-1.0
542,-1.0,-1.0,-1.0
543,-1.0,-1.0,-1.0
544,-1.0,-1.0,-1.0
545,-1.0,-1.0,-1.0
546,-1.0,-1.0,-1.0
547,-1.0,-1.0,-1.0
548,-1.0,-1.0,-1.0
549,-1.0,-1.0,-1.0
550,-1.0,-1.0,-1.0
551,-1.0,-1.0,-1.0
552,-1.0,-1.0,-1.0
553,-1.0,-1.0,-1.0
554,-1.0,-1.0,-1.0
555,-1.0,-1.0,-1.0
556,-1.0,-1.0,-1.0
557,-1.0,-1.0,0.10000000149011612
558,-1.0,-1.0,-1.0
559,-1.0,-1.0,-1.0
560,-1.0,0.25,-1.0
561,-1.0,-1.0,-1.0
562,-1.0,-1.0,-1.0
563,-1.0,-1.0,-1.0
564,0.07500000298023224,0.5,-1.0
565,-1.0,0.05000000074505806,-1.0
566,-1.0,-1.0,-1.0
567,-1.0,0.03333333507180214,-1.0
568,0.05000000074505806,0.05000000074505806,0.05000000074505806
569,-1.0,-1.0,-1.0
570,-1.0,-1.0,-1.0
571,-1.0,-1.0,-1.0
572,-1.0,-1.0,0.5
573,-1.0,-1.0,-1.0
574,-1.0,-1.0,-1.0
575,-1.0,-1.0,-1.0
576,-1.0,-1.0,-1.0
577,0.05000000074505806,0.05000000074505806,-1.0
578,-1.0,-1.0,-1.0
579,-1.0,-1.0,-1.0
580,-1.0,0.03333333507180214,-1.0
581,-1.0,-1.0,-1.0
582,-1.0,-1.0,-1.0
583,-1.0,-1.0,-1.0
584,-1.0,-1.0,-1.0
585,0.02500000037252903,-1.0,-1.0
586,-1.0,-1.0,-1.0
587,-1.0,-1.0,0.03333333507180214
588,-1.0,-1.0,-1.0
589,-1.0,-1.0,-1.0
590,-1.0,-1.0,-1.0
591,-1.0,-1.0,-1.0
592,-1.0,-1.0,0.07500000298023224
593,-1.0,0.07500000298023224,-1.0
594,-1.0,-1.0,-1.0
595,-1.0,-1.0,-1.0
596,-1.0,-1.0,-1.0
597,-1.0,-1.0,-1.0
598,-1.0,-1.0,-1.0
599,-1.0,-1.0,-1.0
600,-1.0,-1.0,-1.0
601,-1.0,-1.0,-1.0
602,-1.0,-1.0,-1.0
603,-1.0,-1.0,-1.0
604,-1.0,0.125,0.125
605,-1.0,-1.0,-1.0
606,-1.0,-1.0,-1.0
607,-1.0,-1.0,-1.0
608,-1.0,-1.0,-1.0
609,-1.0,-1.0,-1.0
610,-1.0,-1.0,-1.0
611,0.125,-1.0,0.25
612,-1.0,-1.0,-1.0
613,0.125,-1.0,0.05000000074505806
614,-1.0,-1.0,-1.0
615,-1.0,-1.0,-1.0
616,0.05000000074505806,-1.0,0.05000000074505806
617,-1.0,-1.0,-1.0
618,-1.0,0.07500000298023224,-1.0
619,-1.0,-1.0,-1.0
620,-1.0,-1.0,-1.0
621,0.5,-1.0,-1.0
622,-1.0,-1.0,-1.0
623,-1.0,-1.0,-1.0
624,-1.0,-1.0,-1.0
625,-1.0,-1.0,-1.0
626,-1.0,-1.0,-1.0
627,-1.0,-1.0,-1.0
628,-1.0,-1.0,-1.0
629,-1.0,-1.0,-1.0
630,-1.0,0.05000000074505806,0.25
631,-1.0,-1.0,-1.0
632,-1.0,-1.0,-1.0
633,-1.0,-1.0,-1.0
634,-1.0,-1.0,-1.0
635,-1.0,-1.0,-1.0
636,0.02500000037252903,0.125,-1.0
637,-1.0,-1.0,-1.0
638,-1.0,0.05000000074505806,-1.0
639,-1.0,-1.0,-1.0
640,-1.0,-1.0,-1.0
641,-1.0,-1.0,0.02500000037252903
642,0.008333333767950535,-1.0,-1.0
643,-1.0,-1.0,-1.0
644,0.10000000149011612,-1.0,-1.0
645,-1.0,-1.0,-1.0
646,-1.0,-1.0,-1.0
647,-1.0,-1.0,-1.0
648,-1.0,-1.0,-1.0
649,-1.0,-1.0,-1.0
650,-1.0,-1.0,-1.0
651,-1.0,-1.0,-1.0
652,-1.0,-1.0,-1.0
653,-1.0,-1.0,-1.0
654,0.5,-1.0,-1.0
655,-1.0,-1.0,-1.0
656,-1.0,0.02500000037252903,-1.0
657,-1.0,-1.0,-1.0
658,-1.0,-1.0,-1.0
659,-1.0,-1.0,-1.0
660,-1.0,0.13333334028720856,0.02500000037252903
661,-1.0,-1.0,-1.0
662,0.05000000074505806,-1.0,-1.0
663,-1.0,-1.0,-1.0
664,0.07500000298023224,-1.0,-1.0
665,-1.0,-1.0,-1.0
666,0.10000000149011612,-1.0,-1.0
667,-1.0,-1.0,-1.0
668,-1.0,-1.0,-1.0
669,-1.0,-1.0,-1.0
670,-1.0,-1.0,-1.0
671,-1.0,-1.0,-1.0
672,-1.0,0.02500000037252903,-1.0
673,-1.0,-1.0,-1.0
674,-1.0,-1.0,-1.0
675,-1.0,-1.0,-1.0
676,-1.0,-1.0,0.07500000298023224
677,-1.0,-1.0,-1.0
678,-1.0,-1.0,-1.0
679,-1.0,-1.0,-1.0
680,0.02500000037252903,-1.0,-1.0
681,-1.0,0.02500000037252903,-1.0
682,-1.0,-1.0,-1.0
683,-1.0,-1.0,-1.0
684,-1.0,-1.0,-1.0
685,0.125,0.0833333358168602,-1.0
686,-1.0,-1.0,0.05000000074505806
687,-1.0,-1.0,-1.0
688,-1.0,-1.0,-1.0
689,-1.0,-1.0,-1.0
690,-1.0,-1.0,-1.0
691,-1.0,-1.0,-1.0
692,-1.0,-1.0,-1.0
693,-1.0,-1.0,-1.0
694,-1.0,-1.0,-1.0
695,-1.0,-1.0,-1.0
696,0.10000000149011612,-1.0,-1.0
697,0.03333333507180214,-1.0,-1.0
698,-1.0,-1.0,-1.0
699,-1.0,-1.0,0.05000000074505806
700,-1.0,0.25,-1.0
701,0.008333333767950535,-1.0,-1.0
702,-1.0,-1.0,-1.0
703,-1.0,-1.0,-1.0
704,-1.0,0.03333333507180214,0.05000000074505806
705,-1.0,-1.0,-1.0
706,-1.0,-1.0,-1.0
707,-1.0,0.05000000074505806,-1.0
708,-1.0,-1.0,-1.0
709,-1.0,-1.0,-1.0
710,-1.0,-1.0,-1.0
711,-1.0,-1.0,-1.0
712,-1.0,-1.0,-1.0
713,0.13333334028720856,-1.0,-1.0
714,-1.0,0.5,-1.0
715,-1.0,-1.0,-1.0
716,-1.0,-1.0,-1.0
717,-1.0,-1.0,-1.0
718,-1.0,-1.0,-1.0
719,-1.0,-1.0,-1.0
720,-1.0,-1.0,-1.0
721,-1.0,-1.0,-1.0
722,-1.0,-1.0,-1.0
723,-1.0,-1.0,-1.0
724,-1.0,-1.0,-1.0
725,-1.0,-1.0,-1.0
726,-1.0,0.05000000074505806,0.25
727,-1.0,0.07500000298023224,-1.0
728,-1.0,-1.0,-1.0
729,-1.0,-1.0,-1.0
730,-1.0,-1.0,-1.0
731,-1.0,-1.0,-1.0
732,0.02500000037252903,-1.0,-1.0
733,-1.0,-1.0,-1.0
734,-1.0,0.05000000074505806,-1.0
735,-1.0,-1.0,-1.0
736,-1.0,-1.0,0.05000000074505806
737,-1.0,-1.0,-1.0
738,-1.0,-1.0,-1.0
739,-1.0,-1.0,-1.0
740,-1.0,-1.0,0.05000000074505806
741,-1.0,0.13333334028720856,-1.0
742,-1.0,-1.0,0.25
743,-1.0,-1.0,-1.0
744,-1.0,-1.0,-1.0
745,-1.0,-1.0,-1.0
746,-1.0,-1.0,-1.0
747,-1.0,-1.0,-1.0
748,-1.0,-1.0,-1.0
749,-1.0,-1.0,-1.0
750,-1.0,-1.0,0.03333333507180214
751,-1.0,-1.0,-1.0
752,-1.0,-1.0,-1.0
753,-1.0,-1.0,-1.0
754,-1.0,-1.0,-1.0
755,0.03333333507180214,-1.0,-1.0
756,-1.0,-1.0,-1.0
757,-1.0,-1.0,-1.0
758,-1.0,-1.0,-1.0
759,-1.0,-1.0,-1.0
760,-1.0,-1.0,0.02500000037252903
761,-1.0,-1.0,-1.0
762,-1.0,-1.0,-1.0
763,-1.0,-1.0,-1.0
764,-1.0,-1.0,-1.0
765,0.5,-1.0,-1.0
766,-1.0,-1.0,-1.0
767,-1.0,-1.0,-1.0
768,-1.0,-1.0,-1.0
769,0.03333333507180214,-1.0,-1.0
770,-1.0,-1.0,-1.0
771,-1.0,-1.0,-1.0
772,-1.0,-1.0,-1.0
773,0.05000000074505806,-1.0,-1.0
774,-1.0,-1.0,-1.0
775,-1.0,-1.0,0.5
776,0.5,-1.0,-1.0
777,-1.0,-1.0,-1.0
778,-1.0,-1.0,-1.0
779,0.05000000074505806,-1.0,-1.0
